Pitch,Durations
172,3
91,3
88,3
151,3
172,3
151,3
172,3
95,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
95,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
151,3
172,3
91,2
91,1
88,2
88,1
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
88,3
103,3
88,3
103,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
103,3
88,3
103,3
88,3
95,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
151,3
172,3
91,2
91,1
88,2
88,1
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,6
172,2
149,4
149,3
149,3
88,3
88,3
149,3
149,3
88,3
88,3
149,6
149,6
95,6
149,6
94,6
88,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
172,3
88,3
90,6
172,3
88,3
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
84,6
95,3
88,3
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
6,6
106,6
6,6
149,6
6,6
95,6
6,6
106,6
149,6
6,6
156,3
88,3
95,6
6,3
88,3
106,6
91,6
149,6
91,6
95,6
6,6
106,6
149,6
6,6
106,6
90,6
6,3
88,3
106,6
91,6
149,6
91,6
95,6
6,6
88,6
149,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
149,3
149,3
81,3
81,3
1,3
1,3
166,3
166,3
154,6
172,3
166,3
166,3
158,3
172,6
154,6
1,3
1,3
166,6
158,6
149,6
149,3
149,3
91,6
91,6
150,6
81,3
81,3
1,6
166,6
154,6
1,3
1,3
166,6
158,6
150,3
81,3
81,3
81,3
89,3
1,3
1,3
1,3
166,3
166,3
158,3
88,3
149,3
172,8
149,3
149,3
81,3
81,3
1,3
1,3
166,3
166,3
154,6
172,3
166,3
166,3
158,3
172,6
154,6
1,3
1,3
166,6
158,6
149,6
149,3
149,3
91,6
91,6
150,6
81,3
81,3
1,6
166,6
154,6
1,3
1,3
166,6
158,6
150,4
81,4
81,4
81,4
1,4
1,4
1,4
166,4
166,4
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
172,3
88,3
90,6
172,3
88,3
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
84,6
95,3
88,3
90,6
172,6
91,6
88,6
151,6
88,6
95,6
172,6
91,6
155,6
6,6
106,6
90,6
6,6
106,6
6,6
149,6
6,6
95,6
6,6
106,6
149,6
6,6
156,3
88,3
95,6
6,3
88,3
106,6
91,6
149,6
91,6
95,6
6,6
106,6
149,6
6,6
106,6
90,6
6,3
88,3
106,6
91,6
149,6
91,6
95,6
6,6
88,6
149,6
6,6
106,6
90,6
172,6
91,6
88,6
151,6
88,6
96,6
172,6
88,6
88,6
150,6
88,6
88,6
149,3
149,3
95,6
88,6
172,6
88,6
150,6
88,6
88,6
172,3
149,3
95,6
172,6
88,6
88,6
150,6
88,6
88,6
172,6
95,6
88,6
172,6
88,6
150,6
88,6
88,6
81,2
81,1
1,3
113,6
90,6
85,6
88,6
154,6
7,6
6,6
172,3
149,3
95,6
88,6
172,6
88,6
150,6
88,6
88,6
81,2
81,1
1,3
113,6
90,6
95,6
88,6
150,6
88,6
95,6
172,6
93,6
89,6
89,6
93,3
93,3
89,6
89,6
1,3
1,1
109,2
108,1
108,2
172,3
96,6
172,6
88,6
88,6
150,6
88,6
88,6
149,3
149,3
95,6
88,6
172,6
88,6
150,6
88,6
88,6
172,3
149,3
95,6
172,6
88,6
88,6
150,6
88,6
88,6
172,6
88,6
81,6
81,6
1,3
1,3
1,6
1,6
149,3
81,3
81,3
1,3
95,6
90,6
95,6
88,6
154,6
7,6
6,6
172,3
149,3
95,6
88,6
172,6
88,6
150,6
88,6
88,6
172,3
149,3
95,6
90,6
95,6
88,6
154,6
7,6
6,6
172,3
149,3
95,6
88,6
6,6
88,6
150,6
88,6
6,10
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
104,3
93,3
93,3
89,3
101,6
172,6
101,3
89,3
89,3
108,3
104,3
93,3
93,3
89,3
101,6
172,6
101,3
93,3
93,3
102,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
91,3
91,1
91,2
6,3
88,3
149,6
6,3
88,3
149,3
84,3
88,6
91,3
91,1
91,2
6,2
6,1
88,3
149,6
6,3
88,3
149,3
84,3
88,3
149,3
95,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,2
91,1
88,2
88,1
150,3
172,3
88,2
88,1
88,2
88,1
91,3
172,3
88,3
172,3
154,3
85,8
95,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,3
88,3
90,3
88,3
101,3
101,3
101,3
101,3
88,3
88,3
104,3
95,3
104,3
104,3
91,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,3
88,3
150,3
172,3
88,2
88,1
88,2
88,1
91,3
172,3
88,3
172,3
154,3
85,3
86,3
86,3
88,3
172,3
153,3
172,3
88,3
172,3
152,3
172,8
84,2
84,1
84,3
88,3
84,3
149,3
172,3
94,3
172,3
152,3
88,3
88,3
172,6
149,3
91,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,3
88,3
150,3
172,3
88,2
88,1
88,2
88,1
91,3
172,3
88,3
172,3
154,3
85,3
86,3
86,3
91,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,3
88,3
92,3
93,3
101,3
101,3
89,3
89,3
101,3
101,3
89,3
89,3
108,3
108,3
91,3
88,3
91,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
91,3
88,3
150,3
172,3
88,2
88,1
88,2
88,1
94,3
172,3
88,3
172,3
154,3
85,3
86,3
86,3
94,3
172,3
149,3
172,3
88,3
172,3
152,3
172,3
84,3
172,6
84,3
88,3
84,3
149,3
172,3
94,3
172,3
152,3
88,3
88,3
172,6
149,3
95,6
6,6
106,6
6,6
106,6
84,6
149,6
6,6
106,6
149,6
95,6
6,6
106,6
6,6
106,6
84,6
149,6
6,6
106,6
149,6
95,6
6,6
106,6
6,6
106,6
84,6
149,6
6,6
106,6
149,6
95,6
6,6
106,6
6,6
106,6
84,6
149,6
6,6
106,6
149,6
95,6
6,6
106,3
88,3
6,6
106,3
88,3
84,6
149,6
6,6
106,6
149,6
95,3
172,3
6,3
88,3
106,3
172,3
6,3
88,3
106,3
172,3
84,3
172,3
149,3
172,3
6,3
172,3
106,3
172,3
149,3
172,3
95,6
6,6
106,3
88,3
6,6
106,3
88,3
84,6
149,6
6,6
106,6
149,6
95,3
172,3
6,3
88,3
106,3
172,3
6,3
88,3
106,3
172,3
84,3
172,3
149,3
172,3
6,3
172,3
88,3
172,3
149,3
172,3
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
110,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,17
88,3
111,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
109,3
172,8
95,3
172,18
109,3
172,8
90,3
172,18
95,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
95,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
172,3
151,3
172,3
151,3
172,3
91,3
88,3
151,3
172,3
91,3
88,3
151,3
172,3
151,3
172,3
95,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
151,3
172,3
91,2
91,1
88,2
88,1
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
88,3
103,3
88,3
103,3
88,3
91,3
88,3
103,3
88,3
91,3
88,3
103,3
88,3
103,3
88,3
95,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
151,3
172,3
91,2
91,1
88,2
88,1
151,3
172,3
151,3
172,3
90,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,3
172,3
151,3
172,3
91,3
88,1
88,2
103,1
151,2
172,3
91,6
172,2
149,4
149,3
149,3
88,3
88,3
149,3
149,3
88,3
88,3
149,6
149,6
95,6
149,6
94,6
88,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
95,6
149,6
94,6
172,6
153,6
88,6
88,6
149,6
149,6
91,6
155,6
91,6
156,6
172,13
95,6
149,6
94,6
88,6
153,6
88,6
153,6
149,6
88,6
149,3
84,3
94,6
172,6
149,6
90,13
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
90,3
95,3
90,3
95,3
96,10
5,3
85,3
5,3
95,3
90,3
149,3
172,10
83,3
172,8
3,3
172,6
88,1
88,2
88,3
172,6
88,3
172,15
88,2
88,1
88,2
88,1
96,10
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
85,3
5,3
