Pitch,Durations
7,3
7,3
7,3
7,3
122,13
7,6
21,3
7,3
7,3
7,3
7,3
7,3
7,3
7,3
45,3
7,3
7,3
7,3
7,3
7,3
41,3
7,3
166,3
166,3
158,3
141,3
172,10
72,3
163,1
163,2
13,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,10
13,6
156,3
163,3
119,10
72,3
163,1
163,2
13,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
43,6
7,6
14,3
81,3
81,3
1,3
8,3
166,3
166,3
1,3
16,3
81,3
1,3
81,3
119,6
116,6
72,3
163,1
163,2
13,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,10
13,6
156,3
163,3
119,10
72,3
163,1
163,2
13,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
13,6
7,6
119,6
7,6
13,6
7,3
7,3
119,10
77,3
166,3
116,6
13,6
116,6
13,6
166,3
157,3
170,6
119,6
73,6
59,3
148,3
124,3
148,3
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,6
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,3
148,3
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,6
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,3
148,3
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,6
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,3
148,3
73,6
59,6
73,3
59,3
124,6
165,6
73,6
59,3
148,3
124,6
73,6
116,6
116,6
7,3
7,3
116,6
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
46,3
7,3
59,3
59,3
59,3
59,3
7,3
7,3
46,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
43,3
7,3
7,3
7,3
59,3
7,3
7,3
7,3
146,3
166,3
160,3
158,3
160,3
124,3
116,3
116,3
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
13,6
7,3
172,3
119,3
172,3
7,6
13,6
7,3
7,3
119,10
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
7,3
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
7,6
70,6
116,6
162,6
7,6
162,6
116,6
162,6
7,6
70,6
116,6
162,6
7,3
7,3
70,6
116,6
162,6
41,3
16,3
8,3
8,3
8,3
74,3
64,3
7,3
41,3
41,3
8,3
16,3
74,3
64,3
64,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
8,3
8,3
74,3
7,3
7,3
41,3
41,3
74,3
74,3
64,3
64,3
7,3
7,3
41,3
16,3
8,3
41,3
41,3
41,3
64,3
7,3
41,3
8,3
8,3
7,3
41,3
7,3
41,3
